['X9', 'X5', 'O4', 'O6', 'O8', 'X7', 'X1', 'X3', 'O2', 0, 9, 5, 4]
['O6', 'X1', 'X5', 'X9', 'X7', 'O8', 'O2', 'O4', 'X3', 0, 9, 5, 4]
['X3', 'X1', 'O8', 'O6', 'O4', 'X7', 'X9', 'O2', 'X5', 0, 9, 5, 4]
['X7', 'O8', 'X1', 'X3', 'O4', 'X9', 'O2', 'X5', 'O6', 0, 9, 5, 4]
['O4', 'X7', 'X9', 'X5', 'X1', 'O6', 'O2', 'O8', 'X3', 0, 9, 5, 4]
['X1', 'O6', 'X3', 'X7', 'O8', 'X9', 'O2', 'X5', 'O4', 0, 9, 5, 4]
['X3', 'X5', 'O4', 'O8', 'O6', 'X1', 'X9', 'O2', 'X7', 0, 9, 5, 4]
['O4', 'X5', 'O2', 'X3', 'X7', 'O8', 'X9', 'O6', 'X1', 0, 9, 5, 4]
['O8', 'X5', 'X3', 'X9', 'O4', 'O2', 'X1', 'O6', 'X7', 0, 9, 5, 4]
['X7', 'O2', 'X1', 'X5', 'O8', 'O6', 'O4', 'X9', 'X3', 0, 9, 5, 4]
['O8', 'O4', 'X5', 'X1', 'X9', 'O6', 'O2', 'X7', 'X3', 0, 9, 5, 4]
['X5', 'X7', 'O2', 'O6', 'O8', 'X9', 'X3', 'O4', 'X1', 0, 9, 5, 4]
['O8', 'X1', 'O6', 'X3', 'O4', 'X7', 'X9', 'O2', 'X5', 0, 9, 5, 4]
['X3', 'X5', 'O4', 'O2', 'O8', 'X1', 'X7', 'O6', 'X9', 0, 9, 5, 4]
['O8', 'X5', 'O2', 'X9', 'X7', 'O6', 'X1', 'O4', 'X3', 0, 9, 5, 4]
['X3', 'O4', 'X7', 'X5', 'X9', 'O8', 'O6', 'X1', 'O2', 0, 9, 5, 4]
['X5', 'O2', 'X1', 'X9', 'X7', 'O4', 'O6', 'X3', 'O8', 0, 9, 5, 4]
['X1', 'O6', 'X3', 'X5', 'O2', 'X7', 'O8', 'X9', 'O4', 0, 9, 5, 4]
['X1', 'O6', 'X9', 'X5', 'O8', 'O2', 'O4', 'X3', 'X7', 0, 9, 5, 4]
['X3', 'X5', 'O4', 'O2', 'O8', 'X1', 'X9', 'O6', 'X7', 0, 9, 5, 4]
['X9', 'X7', 'O8', 'O6', 'O4', 'X1', 'X3', 'O2', 'X5', 0, 9, 5, 4]
['X1', 'O2', 'O8', 'O4', 'X7', 'X9', 'X3', 'X5', 'O6', 0, 9, 5, 4]
['O4', 'X7', 'O2', 'O6', 'X3', 'X9', 'X5', 'O8', 'X1', 0, 9, 5, 4]
['O4', 'O8', 'X5', 'X1', 'X7', 'O2', 'O6', 'X3', 'X9', 0, 9, 5, 4]
['O2', 'X5', 'O6', 'O8', 'X7', 'X3', 'X1', 'O4', 'X9', 0, 9, 5, 4]
['O2', 'O8', 'X3', 'X9', 'X1', 'O4', 'O6', 'X5', 'X7', 0, 9, 5, 4]
['X1', 'O6', 'X9', 'O2', 'O4', 'X5', 'X7', 'X3', 'O8', 0, 9, 5, 4]
['O4', 'X3', 'O8', 'X9', 'O6', 'X5', 'X1', 'O2', 'X7', 0, 9, 5, 4]
['X1', 'O6', 'X3', 'O8', 'X9', 'X7', 'O2', 'X5', 'O4', 0, 9, 5, 4]
['X5', 'X1', 'O2', 'O4', 'O8', 'X7', 'X3', 'O6', 'X9', 0, 9, 5, 4]
['X7', 'O8', 'X9', 'O6', 'O2', 'X5', 'X3', 'X1', 'O4', 0, 9, 5, 4]
['O4', 'X1', 'X9', 'X5', 'O2', 'O8', 'X3', 'O6', 'X7', 0, 9, 5, 4]
['X1', 'O8', 'X5', 'X9', 'O2', 'X7', 'O6', 'X3', 'O4', 0, 9, 5, 4]
['X7', 'O8', 'X5', 'X9', 'O2', 'X1', 'O4', 'X3', 'O6', 0, 9, 5, 4]
['O6', 'X5', 'X1', 'X3', 'X7', 'O8', 'O4', 'O2', 'X9', 0, 9, 5, 4]
['O4', 'X1', 'X5', 'X3', 'O2', 'O8', 'X7', 'O6', 'X9', 0, 9, 5, 4]
['X1', 'X3', 'O8', 'O4', 'X9', 'X7', 'X5', 'O2', 'O6', 0, 9, 5, 4]
['O4', 'O8', 'X3', 'X9', 'X7', 'O2', 'O6', 'X1', 'X5', 0, 9, 5, 4]
['X1', 'O4', 'O8', 'O6', 'X3', 'X9', 'X5', 'X7', 'O2', 0, 9, 5, 4]
['X7', 'O4', 'X3', 'O8', 'X1', 'X9', 'O2', 'X5', 'O6', 0, 9, 5, 4]
['O6', 'X1', 'O2', 'X3', 'X7', 'O4', 'X9', 'O8', 'X5', 0, 9, 5, 4]
['O6', 'X9', 'O2', 'X3', 'O8', 'X7', 'X5', 'O4', 'X1', 0, 9, 5, 4]
['O8', 'X7', 'O6', 'X3', 'O4', 'X1', 'X5', 'O2', 'X9', 0, 9, 5, 4]
['X7', 'O4', 'X9', 'O8', 'X1', 'X5', 'O2', 'X3', 'O6', 0, 9, 5, 4]
['O4', 'X1', 'O2', 'O8', 'X3', 'X9', 'X5', 'O6', 'X7', 0, 9, 5, 4]
['O6', 'X3', 'O8', 'O2', 'X7', 'X1', 'X5', 'O4', 'X9', 0, 9, 5, 4]
['X5', 'O4', 'X9', 'X3', 'O2', 'O6', 'O8', 'X7', 'X1', 0, 9, 5, 4]
['X9', 'O2', 'X3', 'X7', 'O8', 'O6', 'O4', 'X5', 'X1', 0, 9, 5, 4]
['O8', 'X1', 'O4', 'X3', 'O2', 'X7', 'X5', 'O6', 'X9', 0, 9, 5, 4]
['X9', 'O8', 'X5', 'X1', 'X3', 'O6', 'O4', 'X7', 'O2', 0, 9, 5, 4]
['O6', 'X9', 'O2', 'O8', 'X3', 'X7', 'X1', 'O4', 'X5', 0, 9, 5, 4]
['X1', 'O2', 'X5', 'O6', 'O4', 'X3', 'X7', 'X9', 'O8', 0, 9, 5, 4]
['X3', 'X9', 'O6', 'O4', 'O8', 'X7', 'X5', 'X1', 'O2', 0, 9, 5, 4]
['O4', 'X3', 'O8', 'O2', 'X5', 'X7', 'X9', 'O6', 'X1', 0, 9, 5, 4]
['X3', 'O2', 'O6', 'O4', 'X1', 'X9', 'X5', 'X7', 'O8', 0, 9, 5, 4]
['X1', 'O6', 'X5', 'X7', 'O4', 'X3', 'O8', 'X9', 'O2', 0, 9, 5, 4]
['O6', 'O4', 'X7', 'X9', 'X5', 'O2', 'O8', 'X1', 'X3', 0, 9, 5, 4]
['O6', 'X9', 'X1', 'X5', 'O4', 'O8', 'O2', 'X3', 'X7', 0, 9, 5, 4]
['X3', 'O4', 'X1', 'X5', 'O6', 'O2', 'O8', 'X7', 'X9', 0, 9, 5, 4]
['O6', 'X9', 'X7', 'X5', 'O4', 'O8', 'O2', 'X1', 'X3', 0, 9, 5, 4]
['O4', 'X7', 'O8', 'O2', 'X1', 'X5', 'X3', 'O6', 'X9', 0, 9, 5, 4]
['O2', 'X5', 'X7', 'X9', 'X3', 'O8', 'O6', 'O4', 'X1', 0, 9, 5, 4]
['O2', 'X7', 'O8', 'X5', 'O4', 'X9', 'X3', 'O6', 'X1', 0, 9, 5, 4]
['X7', 'X5', 'O8', 'O2', 'O6', 'X9', 'X1', 'O4', 'X3', 0, 9, 5, 4]
['X3', 'X5', 'O6', 'O2', 'X1', 'X9', 'X7', 'O4', 'O8', 0, 9, 5, 4]
['X7', 'X3', 'O8', 'O2', 'O4', 'X9', 'X5', 'O6', 'X1', 0, 9, 5, 4]
['X5', 'X3', 'O6', 'O2', 'O4', 'X1', 'X9', 'X7', 'O8', 0, 9, 5, 4]
['X7', 'O4', 'O6', 'O8', 'X1', 'X9', 'X3', 'X5', 'O2', 0, 9, 5, 4]
['O8', 'O2', 'X3', 'X7', 'X1', 'O6', 'O4', 'X9', 'X5', 0, 9, 5, 4]
['O4', 'X7', 'X1', 'X3', 'O2', 'O6', 'X5', 'O8', 'X9', 0, 9, 5, 4]
['X7', 'X9', 'O2', 'O6', 'O8', 'X1', 'X3', 'X5', 'O4', 0, 9, 5, 4]
['X7', 'O6', 'X5', 'X1', 'O4', 'X9', 'O8', 'X3', 'O2', 0, 9, 5, 4]
['O8', 'X3', 'O4', 'X5', 'O6', 'X7', 'X9', 'O2', 'X1', 0, 9, 5, 4]
['X7', 'X3', 'O8', 'O4', 'O2', 'X5', 'X9', 'X1', 'O6', 0, 9, 5, 4]
['X7', 'O2', 'O4', 'O6', 'X5', 'X3', 'X9', 'X1', 'O8', 0, 9, 5, 4]
['O8', 'X9', 'O4', 'X5', 'O6', 'X1', 'X7', 'O2', 'X3', 0, 9, 5, 4]
['O8', 'X7', 'X5', 'X3', 'O6', 'O2', 'X9', 'O4', 'X1', 0, 9, 5, 4]
['O6', 'X9', 'X7', 'X5', 'X1', 'O8', 'O4', 'O2', 'X3', 0, 9, 5, 4]
['O4', 'X7', 'X1', 'X9', 'O2', 'O6', 'X5', 'O8', 'X3', 0, 9, 5, 4]
['X3', 'O6', 'X7', 'X5', 'X9', 'O2', 'O8', 'X1', 'O4', 0, 9, 5, 4]
['O4', 'X5', 'O6', 'X9', 'O8', 'X1', 'X7', 'O2', 'X3', 0, 9, 5, 4]
['X5', 'X9', 'O4', 'O8', 'X3', 'X1', 'X7', 'O2', 'O6', 0, 9, 5, 4]
['O6', 'O2', 'X3', 'X7', 'X5', 'O8', 'O4', 'X9', 'X1', 0, 9, 5, 4]
['X7', 'O2', 'X5', 'X9', 'X3', 'O6', 'O8', 'X1', 'O4', 0, 9, 5, 4]
['O4', 'O6', 'X1', 'X5', 'X3', 'O8', 'O2', 'X7', 'X9', 0, 9, 5, 4]
['O4', 'X1', 'O2', 'X7', 'X5', 'O8', 'X9', 'O6', 'X3', 0, 9, 5, 4]
['O4', 'X7', 'O2', 'X1', 'X9', 'O6', 'X3', 'O8', 'X5', 0, 9, 5, 4]
['O6', 'X5', 'X3', 'X1', 'O2', 'O8', 'O4', 'X9', 'X7', 0, 9, 5, 4]
['O4', 'X9', 'O6', 'X1', 'O8', 'X3', 'X7', 'O2', 'X5', 0, 9, 5, 4]
['O8', 'X3', 'X9', 'X5', 'X1', 'O2', 'O4', 'O6', 'X7', 0, 9, 5, 4]
['O8', 'X5', 'X7', 'X9', 'X3', 'O2', 'O4', 'O6', 'X1', 0, 9, 5, 4]
['O8', 'X5', 'O4', 'X7', 'X9', 'O2', 'X3', 'O6', 'X1', 0, 9, 5, 4]
['O4', 'X5', 'X7', 'X1', 'O6', 'O8', 'O2', 'X3', 'X9', 0, 9, 5, 4]
['X7', 'X3', 'O8', 'O2', 'X9', 'X5', 'X1', 'O6', 'O4', 0, 9, 5, 4]
['O6', 'X5', 'O4', 'O2', 'X1', 'X9', 'X3', 'O8', 'X7', 0, 9, 5, 4]
['O4', 'X9', 'X1', 'X7', 'X5', 'O2', 'O8', 'O6', 'X3', 0, 9, 5, 4]
['O8', 'O2', 'X9', 'X1', 'X3', 'O4', 'O6', 'X5', 'X7', 0, 9, 5, 4]
['X3', 'O8', 'X1', 'X7', 'O2', 'O4', 'O6', 'X9', 'X5', 0, 9, 5, 4]
['O6', 'O2', 'X1', 'X7', 'X9', 'O8', 'O4', 'X3', 'X5', 0, 9, 5, 4]
['X7', 'X1', 'O6', 'O2', 'O4', 'X5', 'X3', 'X9', 'O8', 0, 9, 5, 4]
['X5', 'O4', 'X7', 'O8', 'O6', 'X1', 'X3', 'X9', 'O2', 0, 9, 5, 4]
['X1', 'X7', 'O4', 'O8', 'X3', 'X5', 'X9', 'O2', 'O6', 0, 9, 5, 4]
['O8', 'X5', 'X3', 'X7', 'O4', 'O6', 'X1', 'O2', 'X9', 0, 9, 5, 4]
['X7', 'O2', 'X1', 'X9', 'O6', 'X3', 'O8', 'X5', 'O4', 0, 9, 5, 4]
['X9', 'X5', 'O6', 'O4', 'X1', 'X7', 'X3', 'O8', 'O2', 0, 9, 5, 4]
['O4', 'X3', 'O8', 'X5', 'X7', 'O2', 'X1', 'O6', 'X9', 0, 9, 5, 4]
['O8', 'X1', 'X5', 'X9', 'O4', 'O2', 'X3', 'O6', 'X7', 0, 9, 5, 4]
['O8', 'X7', 'O6', 'X1', 'O4', 'X5', 'X9', 'O2', 'X3', 0, 9, 5, 4]
['X9', 'O4', 'X1', 'O6', 'O2', 'X5', 'X7', 'X3', 'O8', 0, 9, 5, 4]
['O4', 'X9', 'O8', 'X7', 'O6', 'X3', 'X1', 'O2', 'X5', 0, 9, 5, 4]
['O6', 'O2', 'X9', 'X3', 'X7', 'O4', 'O8', 'X1', 'X5', 0, 9, 5, 4]
['X5', 'X3', 'O8', 'O2', 'O4', 'X9', 'X1', 'X7', 'O6', 0, 9, 5, 4]
['X5', 'X1', 'O2', 'O8', 'O6', 'X7', 'X3', 'X9', 'O4', 0, 9, 5, 4]
['X7', 'O4', 'X9', 'O8', 'X5', 'X1', 'O2', 'X3', 'O6', 0, 9, 5, 4]
['X1', 'O4', 'X9', 'X3', 'X7', 'O6', 'O2', 'X5', 'O8', 0, 9, 5, 4]
['X5', 'O6', 'X9', 'O4', 'X3', 'X7', 'O2', 'X1', 'O8', 0, 9, 5, 4]
['X3', 'X7', 'O2', 'O6', 'O4', 'X5', 'X1', 'O8', 'X9', 0, 9, 5, 4]
['X5', 'O4', 'X1', 'X9', 'X7', 'O2', 'O6', 'X3', 'O8', 0, 9, 5, 4]
['X3', 'X1', 'O4', 'O2', 'O8', 'X5', 'X7', 'X9', 'O6', 0, 9, 5, 4]
['X9', 'O4', 'X7', 'X3', 'X5', 'O8', 'O6', 'X1', 'O2', 0, 9, 5, 4]
['X1', 'X5', 'O2', 'O6', 'X7', 'X9', 'X3', 'O8', 'O4', 0, 9, 5, 4]
['X9', 'O2', 'X1', 'O4', 'O6', 'X5', 'X3', 'X7', 'O8', 0, 9, 5, 4]
['O4', 'X1', 'O2', 'O6', 'X5', 'X7', 'X3', 'O8', 'X9', 0, 9, 5, 4]
['O4', 'X9', 'X7', 'X3', 'O8', 'O2', 'X1', 'O6', 'X5', 0, 9, 5, 4]
['X3', 'X5', 'O8', 'O4', 'O2', 'X7', 'X1', 'X9', 'O6', 0, 9, 5, 4]
['X9', 'X7', 'O2', 'O6', 'X1', 'X5', 'X3', 'O4', 'O8', 0, 9, 5, 4]
['X3', 'X5', 'O8', 'O2', 'O4', 'X7', 'X1', 'O6', 'X9', 0, 9, 5, 4]
['X3', 'O6', 'X9', 'X5', 'O8', 'O4', 'O2', 'X1', 'X7', 0, 9, 5, 4]
['O2', 'X5', 'X9', 'X7', 'O6', 'O8', 'O4', 'X1', 'X3', 0, 9, 5, 4]
['O6', 'X3', 'O2', 'X7', 'O4', 'X5', 'X1', 'O8', 'X9', 0, 9, 5, 4]
['X5', 'O4', 'X9', 'X3', 'X7', 'O6', 'O2', 'X1', 'O8', 0, 9, 5, 4]
['O6', 'X9', 'X7', 'X5', 'O8', 'O4', 'X3', 'O2', 'X1', 0, 9, 5, 4]
['O2', 'X9', 'X5', 'X3', 'X1', 'O6', 'O8', 'O4', 'X7', 0, 9, 5, 4]
['O6', 'X7', 'X9', 'X1', 'O4', 'O2', 'O8', 'X3', 'X5', 0, 9, 5, 4]
['X1', 'O6', 'O8', 'O2', 'X3', 'X9', 'X5', 'X7', 'O4', 0, 9, 5, 4]
['O8', 'X3', 'X9', 'X5', 'O2', 'O4', 'X1', 'O6', 'X7', 0, 9, 5, 4]
['X1', 'O6', 'X9', 'O4', 'O8', 'X7', 'X5', 'X3', 'O2', 0, 9, 5, 4]
['X1', 'X9', 'O2', 'O8', 'O6', 'X3', 'X7', 'O4', 'X5', 0, 9, 5, 4]
['X9', 'O8', 'X1', 'X7', 'O4', 'O2', 'O6', 'X3', 'X5', 0, 9, 5, 4]
['X5', 'X7', 'O6', 'O4', 'X9', 'X1', 'X3', 'O2', 'O8', 0, 9, 5, 4]
['O6', 'X7', 'O8', 'X9', 'X3', 'O2', 'X5', 'O4', 'X1', 0, 9, 5, 4]
['O6', 'X5', 'X7', 'X3', 'O2', 'O4', 'O8', 'X1', 'X9', 0, 9, 5, 4]
['X1', 'O8', 'X3', 'O4', 'X9', 'X7', 'O2', 'X5', 'O6', 0, 9, 5, 4]
['O6', 'X5', 'O2', 'O4', 'X1', 'X7', 'X3', 'O8', 'X9', 0, 9, 5, 4]
['O8', 'X3', 'O4', 'X9', 'O6', 'X7', 'X5', 'O2', 'X1', 0, 9, 5, 4]
['X1', 'O6', 'X9', 'X5', 'X3', 'O8', 'O2', 'X7', 'O4', 0, 9, 5, 4]
['X1', 'X9', 'O2', 'O4', 'O8', 'X5', 'X3', 'O6', 'X7', 0, 9, 5, 4]
['X5', 'O4', 'O6', 'O8', 'X1', 'X9', 'X7', 'X3', 'O2', 0, 9, 5, 4]
['X3', 'O6', 'X9', 'O2', 'X7', 'X5', 'O4', 'X1', 'O8', 0, 9, 5, 4]
['X9', 'X1', 'O8', 'O2', 'O6', 'X7', 'X5', 'O4', 'X3', 0, 9, 5, 4]
['O4', 'X5', 'X7', 'X3', 'O6', 'O8', 'X9', 'O2', 'X1', 0, 9, 5, 4]
['O4', 'X9', 'O2', 'X3', 'O6', 'X7', 'X5', 'O8', 'X1', 0, 9, 5, 4]
['O8', 'X3', 'O2', 'X5', 'O4', 'X1', 'X9', 'O6', 'X7', 0, 9, 5, 4]
['O2', 'X5', 'O4', 'O8', 'X3', 'X9', 'X1', 'O6', 'X7', 0, 9, 5, 4]
['X1', 'O2', 'X9', 'X5', 'O8', 'O6', 'O4', 'X3', 'X7', 0, 9, 5, 4]
['O6', 'X7', 'X9', 'X3', 'O2', 'O8', 'O4', 'X5', 'X1', 0, 9, 5, 4]
['O8', 'X7', 'X5', 'X1', 'O2', 'O4', 'X9', 'O6', 'X3', 0, 9, 5, 4]
['X1', 'O2', 'X7', 'X5', 'X9', 'O4', 'O8', 'X3', 'O6', 0, 9, 5, 4]
